phase,density,alfa,bata,n,A,E,rl,rm,plas1,plas2,fric1,fric2,coh1,coh2,dilat1,dilat2,cond,cp,Ts,Tl,Tk,fk
1,2880,3e-5,0,3.05,1.25e-1,3.76e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
2,2800,3e-5,0,3.05,1.25e-1,2.76e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
3,2880,3e-5,0,3.05,1.25e-1,3.76e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
4,3300,3e-5,0,3.00,7e4,5.2e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
5,2900,3e-5,0,3.00,7e4,3.76e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
6,2900,3e-5,0,3.05,1.25e-1,2.76e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
7,2880,3e-5,0,3.05,1.25e-1,3.76e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
8,3300,3e-5,0,3.00,7e4,5.2e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
9,3200,3e-5,0,3.00,7e4,1.2e5,3e10,3e10,0,0.2,3,3,4e6,4e6,0,0,3.3,1000,13000,16000,16000,1
10,2800,3e-5,0,3.00,5e2,2e5,3e10,3e10,0,0.2,3,3,4e6,4e6,0,0,3.3,1000,13000,16000,16000,1
11,2800,3e-5,0,3.00,5e2,2e5,3e10,3e10,0,0.2,3,3,4e6,4e6,0,0,3.3,1000,13000,16000,16000,1
12,2800,3e-5,0,3.05,1.25e-1,1.76e5,3e10,3e10,0,0.2,3,3,4e6,4e6,0,0,3.3,1000,13000,16000,16000,1
13,3480,3e-5,0,3.05,1.25e-1,4.5e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
14,2900,3e-5,0,3.05,1.25e-1,5.76e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
15,2800,3e-5,0,3.00,5e2,2e5,3e10,3e10,0,0.2,3,3,4e6,4e6,0,0,3.3,1000,13000,16000,16000,1
16,3200,3e-5,0,3.00,7e4,5.2e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
17,2840,3e-5,0,3.05,1.25e-1,3.76e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
18,3380,3e-5,0,3.05,1.25e-1,4.5e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
19,3200,3e-5,0,3.10,7e4,5.2e5,3e10,3e10,0,0.2,30,15,4e7,4e6,0,0,3.3,1000,13000,16000,16000,1
